"station","bikes"
"5",53
"18",58
"21",59
"11",46
"12",50
"16",60
"17",80
"13",48
"22",74
"6",9
"7",54
"8",18
"9",24
"4",49
"23",68
"10",36
"19",6
"14",2
"15",6
"20",0
"2",0
"24",0
