"station","bikes"
"5",23
"18",18
"21",12
"11",14
"12",12
"16",12
"17",18
"13",13
"22",17
"6",3
"7",7
"8",5
"9",7
"4",16
"23",14
"10",4
"19",4
"14",1
"15",0
"20",0
"2",0
"24",0
