"station","bikes"
"5",8
"18",7
"21",9
"11",2
"12",5
"16",8
"17",15
"13",10
"22",10
"6",1
"7",2
"8",3
"9",4
"4",4
"23",7
"10",2
"19",2
"14",0
"15",1
"20",0
"2",0
"24",0
