"station","bikes"
"5",39
"18",23
"21",27
"11",18
"12",30
"16",22
"17",43
"13",31
"22",26
"6",10
"7",21
"8",9
"9",14
"4",25
"23",32
"10",19
"19",3
"14",1
"15",7
"20",0
"2",0
"24",0
